"@id","Content","Font","Image Clarity","Language"
"1","Mathematical Equation","Computer Written","Under Low Light","English"
"2","Mathematical Equation","Computer Written","Under Bright Light","English"
"3","Mathematical Equation","Computer Written","Under Low Light","Non-English"
"4","Mathematical Equation","Computer Written","Under Bright Light","Non-English"
"5","Mathematical Equation","Human Written","Under Low Light","English"
"6","Mathematical Equation","Human Written","Under Bright Light","English"
"7","Mathematical Equation","Human Written","Under Low Light","Non-English"
"8","Mathematical Equation","Human Written","Under Bright Light","Non-English"
"9","Non-Mathematical Equation","Computer Written","Under Low Light","English"
"10","Non-Mathematical Equation","Computer Written","Under Bright Light","English"
"11","Non-Mathematical Equation","Computer Written","Under Low Light","Non-English"
"12","Non-Mathematical Equation","Computer Written","Under Bright Light","Non-English"
"13","Non-Mathematical Equation","Human Written","Under Low Light","English"
"14","Non-Mathematical Equation","Human Written","Under Bright Light","English"
"15","Non-Mathematical Equation","Human Written","Under Low Light","Non-English"
"16","Non-Mathematical Equation","Human Written","Under Bright Light","Non-English"